"group","base","icon","X.Intercept.","d1","d2","c0","c1","c2","c3"
"Downward",2,"7",3.06321253506658,32.0660340369705,-14.2672557515299,20.2165615424887,14.0889859714982,10.9150227477945,9.41942998770512
"Downward",2,"8",4.41357105197583,-14.4444351727552,-1.43368988999951,65.682714263965,34.2866477278399,24.6567327365242,19.7786694991496
"Downward",2,"10",12.2454160448161,-14.2249987394749,-5.52710872847419,43.9225892866762,25.6960340713955,19.3318461160738,15.9740274631429
"Upward",3,"4",-6.8617916855356,38.1036157623562,-4.53275018529961,4.20236450795596,-4.06761363882959,-3.68454759995317,-3.53450265464659
"Upward",3,"5",2.73590583412202,-17.3747741381004,-1.5963273082442,-26.9621658094925,-14.188718049523,-10.6110355577959,-8.73613822073919
"Upward",3,"10",10.0408918768299,-12.1567325728142,-5.2176844063482,-10.5278199532076,-8.07693923496422,-6.81703804674225,-6.0291914977606
"Flat",1,"6",-18.0917983965547,-49.5233345630284,65.9968172157208,-6.64316028986392,2.69413861753259,2.7251685177261,3.1616911071903
"Flat",1,"9",14.1858339252235,-62.4900466148227,31.2587197288106,-1.66344440305501,-0.649083226589995,4.82085350933489,8.35336789152119
"Flat",1,"10",52.9080282484808,-99.2858878341346,-39.0716684840066,4.74568017330344,-3.70521496687829,-1.8171262712648,0.247944817270704
